sample_id,view,true_id,true_gloss,pred_top1,pred_top1_id,top1_prob,top2,top3,top4,top5,top1_correct,top5_correct,llm_keywords,llm_sentence,llm_reliable,is_fallback,conf_band
P09_0021_front,front,21,鸡,鸡,21,0.2364,看1-1,妹妹,如果,奶奶,True,True,鸡 看1-1 妹妹,信心度不足 — 關鍵詞：鸡 看1-1 妹妹,False,False,low
P09_0071_front,front,71,跑,跑,71,0.7974,找,公园,感谢,有,True,True,跑 找 公园,跑去公園找找看。,True,False,high
P09_0090_front,front,90,答案,答案,90,0.7125,鸡蛋,水果,买,豆腐1-1,True,True,答案 鸡蛋 水果,答案是雞蛋和水果。,True,False,high
P09_0109_front,front,109,什么,什么,109,0.0934,因为1-1,8,没事,下课,True,True,什么 因为1-1 8,信心度不足 — 關鍵詞：什么 因为1-1 8,False,True,low
P09_0145_front,front,145,9,8,5575,0.1116,可以,明天,10,2,False,False,8 可以 明天,信心度不足 — 關鍵詞：8 可以 明天,False,True,low
P09_0165_front,front,165,水果,水果,165,0.7217,鸡蛋,红,忧愁,答案,True,True,水果 鸡蛋 红,水果和雞蛋都是紅色的。,True,False,high
P09_0198_front,front,198,是,小,5471,0.197,小孩儿,为什么,花,有,False,False,小 小孩儿 为什么,信心度不足 — 關鍵詞：小 小孩儿 为什么,False,False,low
P09_0246_front,front,246,拨,咖啡,5353,0.3411,喂,拨,足球,紧张,False,True,咖啡 喂 拨,咖啡已經沖好了，快來喝吧。,True,False,high
P09_0289_front,front,289,新1-1,新1-1,289,0.4078,写字,坐,鞋,在,True,True,新1-1 写字 坐,他正坐著寫字。,True,False,high
P09_0300_front,front,300,鱼,鱼,300,0.8037,快,累,腹,舒服,True,True,鱼 快 累,魚很快就游累了。,True,False,high
P09_0356_front,front,356,菜,厕所,6149,0.0593,可以,什么,以后,不,False,False,厕所 可以 什么,信心度不足 — 關鍵詞：厕所 可以 什么,False,True,low
P09_0369_front,front,369,慢1-1,也,5086,0.2172,失败1-1,慢1-1,没有1-1,少,False,True,也 失败1-1 慢1-1,信心度不足 — 關鍵詞：也 失败1-1 慢1-1,False,False,low
P09_0396_front,front,396,父亲,父亲,396,0.1836,渴,母亲,紫,喜欢,True,True,父亲 渴 母亲,信心度不足 — 關鍵詞：父亲 渴 母亲,False,False,low
P09_0457_front,front,457,大寒,大寒,457,0.3811,对,超市,参加,大,True,True,大寒 对 超市,大寒那天我們去了超市。,True,False,high
P09_0477_front,front,477,快,快,477,0.697,鱼,他们,努力,晚上,True,True,快 鱼 他们,他們很快就釣到了魚。,True,False,high
P09_0488_front,front,488,我们,大家,5599,0.2322,我们,他们,你们,多,False,True,大家 我们 他们,信心度不足 — 關鍵詞：大家 我们 他们,False,False,low
P09_0514_front,front,514,苹果,苹果,514,0.5474,写字,新1-1,干净,担心,True,True,苹果 写字 新1-1,蘋果正在寫字，這是全新的開始。,True,False,high
P09_0526_front,front,526,学生,学生,526,0.4961,椅子,朋友,和,肉,True,True,学生 椅子 朋友,學生坐在椅子上和朋友聊天。,True,False,high
P09_0534_front,front,534,不同,大,3609,0.8159,不同,桌子,超市,高兴,False,True,大 不同 桌子,這張桌子看起來相當與眾不同。,True,False,high
P09_0557_front,front,557,葡萄,葡萄,557,0.8561,答案,香蕉,超市,红,True,True,葡萄 答案 香蕉,葡萄的答案是香蕉。,True,False,high
P09_0603_front,front,603,来,下课,6307,0.1227,失败1-1,走,好,散步,False,False,下课 失败1-1 走,信心度不足 — 關鍵詞：下课 失败1-1 走,False,True,low
P09_0639_front,front,639,大雨,大雨,639,0.9214,树1-1,书包,等,美,True,True,大雨 树1-1 书包,大雨中，樹下放著一個書包。,True,False,high
P09_0805_front,front,805,成功1-1,茶,2533,0.3327,不同,拨,帮助,成功1-1,False,True,茶 不同 拨,茶的種類各有不同。,True,False,high
P09_0869_front,front,869,回家1-1,同学1-1,1104,0.7684,回家1-1,豆腐1-1,食堂,作业,False,True,同学1-1 回家1-1 豆腐1-1,同學回家吃豆腐。,True,False,high
P09_0927_front,front,927,不,法国,2558,0.1411,赌气,渴,恐怕,衣服,False,False,法国 赌气 渴,信心度不足 — 關鍵詞：法国 赌气 渴,False,True,low
P09_0930_front,front,930,但是1-1,为什么,3492,0.1716,花,少,没有1-1,需要1-1,False,False,为什么 花 少,信心度不足 — 關鍵詞：为什么 花 少,False,False,low
P09_0963_front,front,963,容易,听,4691,0.1688,容易,黑,知道,忘记,False,True,听 容易 黑,信心度不足 — 關鍵詞：听 容易 黑,False,False,low
P09_0968_front,front,968,牛奶,牛奶,968,0.6743,高,黑,谁,热1-2,True,True,牛奶 高 黑,牛奶放得太久已經變黑了。,True,False,high
P09_1104_front,front,1104,同学1-1,同学1-1,1104,0.7156,回家1-1,食堂,豆腐1-1,作业,True,True,同学1-1 回家1-1 食堂,同學從食堂回家。,True,False,high
P09_1224_front,front,1224,早上1-1,英俊,2217,0.2862,我们,早上1-1,多,所以1-1,False,True,英俊 我们 早上1-1,英俊的他在早上與我們見面。,True,False,high
P09_1230_front,front,1230,6,8,5575,0.1096,他,可以,5,什么,False,False,8 他 可以,信心度不足 — 關鍵詞：8 他 可以,False,True,low
P09_1251_front,front,1251,学校,学校,1251,0.1814,肉,学生,椅子,图书馆,True,True,学校 肉 学生,信心度不足 — 關鍵詞：学校 肉 学生,False,False,low
P09_1256_front,front,1256,找,跑,71,0.5055,找,水果,银行,玩1-1,False,True,跑 找 水果,跑去尋找水果。,True,False,high
P09_1270_front,front,1270,写字,写字,1270,0.2906,新1-1,坐,在,鞋,True,True,写字 新1-1 坐,他正坐著寫新的字。,True,False,high
P09_1284_front,front,1284,医院,医院,1284,0.8812,食堂,鸡蛋,学习1-1,答案,True,True,医院 食堂 鸡蛋,醫院的食堂裡有雞蛋。,True,False,high
P09_1325_front,front,1325,感谢,衣服,2835,0.2854,感谢,没事,有,我,False,True,衣服 感谢 没事,衣服的事不用客氣，沒關係的。,True,False,high
P09_1328_front,front,1328,忘记,土耳其,2559,0.3002,医生,学习1-1,黑,聪明1-1,False,False,土耳其 医生 学习1-1,那位醫生正在學習土耳其語。,True,False,high
P09_1359_front,front,1359,阿姨,但是1-1,930,0.2997,没事,感谢,有,衣服,False,False,但是1-1 没事 感谢,但是真的沒事，非常感謝您。,True,False,high
P09_1406_front,front,1406,晚上,晚上,1406,0.7763,奶奶,昨天,努力,文静,True,True,晚上 奶奶 昨天,昨天晚上奶奶在晚上時過來了。,True,False,high
P09_1597_front,front,1597,老师,老师,1597,0.2922,恐怕,赌气,我,也,True,True,老师 恐怕 赌气,老師恐怕是在賭氣。,True,False,high
P09_1614_front,front,1614,教导,教导,1614,0.8661,健康,工作1-1,图书馆,苹果,True,True,教导 健康 工作1-1,他正在教導我們如何保持健康地工作。,True,False,high
P09_1636_front,front,1636,豆腐1-1,豆腐1-1,1636,0.8652,同学1-1,回家1-1,食堂,面包,True,True,豆腐1-1 同学1-1 回家1-1,豆腐和同學一起回家了。,True,False,high
P09_1653_front,front,1653,牢记,牢记,1653,0.8285,谁,容易,黑,腻2-2,True,True,牢记 谁 容易,要牢記誰是容易的。,True,False,high
P09_1658_front,front,1658,10,可以,2498,0.123,8,他,5,明天,False,False,可以 8 他,信心度不足 — 關鍵詞：可以 8 他,False,True,low
P09_1670_front,front,1670,少,小孩儿,4486,0.2551,去,为什么,需要1-1,少,False,True,小孩儿 去 为什么,那個小孩兒為什麼要過去呢？,True,False,high
P09_1688_front,front,1688,坏,因为1-1,5780,0.2132,什么,为什么,没事,下课,False,False,因为1-1 什么 为什么,信心度不足 — 關鍵詞：因为1-1 什么 为什么,False,False,low
P09_1747_front,front,1747,鸡蛋,鸡蛋,1747,0.6631,水果,医院,答案,忧愁,True,True,鸡蛋 水果 医院,雞蛋和水果被送到了醫院。,True,False,high
P09_1752_front,front,1752,讲课1-1,讲课1-1,1752,0.8851,公司,豆腐1-1,对不起1-2,公园,True,True,讲课1-1 公司 豆腐1-1,他在公司講課時提到了豆腐。,True,False,high
P09_1770_front,front,1770,今天,饿,4249,0.2362,今天,没有1-1,也,少,False,True,饿 今天 没有1-1,信心度不足 — 關鍵詞：饿 今天 没有1-1,False,False,low
P09_1817_front,front,1817,聪明1-1,医生,2102,0.2288,学习1-1,聪明1-1,喝,如果,False,True,医生 学习1-1 聪明1-1,信心度不足 — 關鍵詞：医生 学习1-1 聪明1-1,False,False,low
P09_1818_front,front,1818,伯父,伯父,1818,0.661,黄1-1,父亲,鼻,晚上,True,True,伯父 黄1-1 父亲,伯父是黃先生的父親。,True,False,high
P09_1823_front,front,1823,超市,超市,1823,0.6338,银行,车站,鸡蛋,葡萄,True,True,超市 银行 车站,超市、銀行和車站都在附近。,True,False,high
P09_1836_front,front,1836,鞋,鞋,1836,0.7846,在,爱,累,站,True,True,鞋 在 爱,鞋子就在那裡。,True,False,high
P09_1879_front,front,1879,水1-1,喜欢,2462,0.2307,渴,紫,水1-1,母亲,False,True,喜欢 渴 紫,信心度不足 — 關鍵詞：喜欢 渴 紫,False,False,low
P09_1887_front,front,1887,走,走,1887,0.4496,散步,腹,鱼,饿,True,True,走 散步 腹,他正一邊散步一邊揉著肚子。,True,False,high
P09_1925_front,front,1925,你,因为1-1,5780,0.1035,好,下课,没事,抢,False,False,因为1-1 好 下课,信心度不足 — 關鍵詞：因为1-1 好 下课,False,True,low
P09_1928_front,front,1928,我,腹,5858,0.214,恐怕,也,老师,我,False,True,腹 恐怕 也,信心度不足 — 關鍵詞：腹 恐怕 也,False,False,low
P09_1955_front,front,1955,电影院,椅子,5753,0.5192,家,电影院,学生,学校,False,True,椅子 家 电影院,那把椅子從家裡被搬到了電影院。,True,False,high
P09_1962_front,front,1962,考试1-2,考试1-2,1962,0.5698,成绩,起床,卖,爱,True,True,考试1-2 成绩 起床,考試成績在一兩點的時候出來了，我一起床就看到了。,True,False,high
P09_2026_front,front,2026,大雪,大雪,2026,0.7096,怎样,大雨,葡萄,回家1-1,True,True,大雪 怎样 大雨,大雪和大雨的情況是怎樣的呢？,True,False,high
P09_2039_front,front,2039,在,做,4870,0.6813,在,坐,卖,买,False,True,做 在 坐,他正在做著，然後坐了下來。,True,False,high
P09_2069_front,front,2069,失败1-1,紫,5736,0.0905,水1-1,累,失败1-1,来,False,True,紫 水1-1 累,信心度不足 — 關鍵詞：紫 水1-1 累,False,True,low
P09_2092_front,front,2092,好,下课,6307,0.1383,因为1-1,抢,好,是,False,True,下课 因为1-1 抢,信心度不足 — 關鍵詞：下课 因为1-1 抢,False,True,low
P09_2102_front,front,2102,医生,学习1-1,4462,0.2297,医生,喝,如果,鸡,False,True,学习1-1 医生 喝,信心度不足 — 關鍵詞：学习1-1 医生 喝,False,False,low
P09_2130_front,front,2130,工作1-1,工作1-1,2130,0.9409,饺子,银行,香蕉,考试1-2,True,True,工作1-1 饺子 银行,我在銀行工作，然後去吃了餃子。,True,False,high
P09_2180_front,front,2180,散步,走,1887,0.3541,散步,鱼,腹,饿,False,True,走 散步 鱼,走著去散步，順便看看魚。,True,False,high
P09_2201_front,front,2201,天空,牢记,1653,0.2162,容易,明天,天空,黑,False,True,牢记 容易 明天,信心度不足 — 關鍵詞：牢记 容易 明天,False,False,low
P09_2206_front,front,2206,文静,文静,2206,0.613,努力,晚上,他们,快,True,True,文静 努力 晚上,文靜在晚上依然努力不懈。,True,False,high
P09_2217_front,front,2217,英俊,英俊,2217,0.6926,早上1-1,所以1-1,多,姐姐,True,True,英俊 早上1-1 所以1-1,因為他長得英俊，所以今天早上特別引人注目。,True,False,high
P09_2229_front,front,2229,健康,健康,2229,0.6822,身体,高兴,现在,书包,True,True,健康 身体 高兴,身體健康，心情自然愉快。,True,False,high
P09_2230_front,front,2230,以后,5,5513,0.147,3,4,2,10,False,False,5 3 4,信心度不足 — 關鍵詞：5 3 4,False,True,low
P09_2244_front,front,2244,如果,如果,2244,0.1514,医生,喝,学习1-1,鸡,True,True,如果 医生 喝,信心度不足 — 關鍵詞：如果 医生 喝,False,False,low
P09_2257_front,front,2257,成绩,成绩,2257,0.6282,考试1-2,朋友,爱,帮助,True,True,成绩 考试1-2 朋友,考試的成績出來後，我告訴了一兩位朋友。,True,False,high
P09_2346_front,front,2346,桌子,桌子,2346,0.7961,干净,面包,高兴,开朗,True,True,桌子 干净 面包,桌子擦乾淨後，麵包就可以放在上面了。,True,False,high
P09_2386_front,front,2386,身体,参加,6526,0.1394,身体,茶,面包,帮助,False,True,参加 身体 茶,信心度不足 — 關鍵詞：参加 身体 茶,False,True,low
P09_2400_front,front,2400,站,站,2400,0.8222,喂,紧张,鞋,拨,True,True,站 喂 紧张,他站起來餵食時顯得有些緊張。,True,False,high
P09_2407_front,front,2407,矮,赌气,2680,0.2768,恐怕,矮,今天,饿,False,True,赌气 恐怕 矮,恐怕他是在賭氣才故意說自己矮的。,True,False,high
P09_2415_front,front,2415,说,说,2415,0.2407,奶奶,鸡,如果,看1-1,True,True,说 奶奶 鸡,信心度不足 — 關鍵詞：说 奶奶 鸡,False,False,low
P09_2416_front,front,2416,担心,担心,2416,0.3001,苹果,高兴,写字,大,True,True,担心 苹果 高兴,原本擔心蘋果，但現在很高興。,True,False,high
P09_2441_front,front,2441,他们,他们,2441,0.7188,努力,你们,散步,快,True,True,他们 努力 你们,他們正在努力，你們也是。,True,False,high
P09_2455_front,front,2455,累,累,2455,0.5603,做,在,紧张,坐,True,True,累 做 在,做得累了。,True,False,high
P09_2462_front,front,2462,喜欢,喜欢,2462,0.2426,父亲,伯父,渴,母亲,True,True,喜欢 父亲 伯父,信心度不足 — 關鍵詞：喜欢 父亲 伯父,False,False,low
P09_2488_front,front,2488,鼻,鼻,2488,0.7224,伯父,牢记,白,厕所,True,True,鼻 伯父 牢记,伯父的叮囑，我始終牢記在心。,True,False,high
P09_2492_front,front,2492,食堂,医院,1284,0.5026,食堂,天空,回家1-1,忘记,False,True,医院 食堂 天空,醫院的食堂上方是一片開闊的天空。,True,False,high
P09_2498_front,front,2498,可以,可以,2498,0.1623,5,8,3,2,True,True,可以 5 8,信心度不足 — 關鍵詞：可以 5 8,False,False,low
P09_2505_front,front,2505,没有1-1,小孩儿,4486,0.2186,为什么,去,需要1-1,没有1-1,False,True,小孩儿 为什么 去,信心度不足 — 關鍵詞：小孩儿 为什么 去,False,False,low
P09_2533_front,front,2533,茶,茶,2533,0.4581,成绩,帮助,成功1-1,参加,True,True,茶 成绩 帮助,喝茶有助於提升成績。,True,False,high
P09_2535_front,front,2535,看1-1,晚上,1406,0.1837,黄1-1,7,知道,说,False,False,晚上 黄1-1 7,信心度不足 — 關鍵詞：晚上 黄1-1 7,False,False,low
P09_2558_front,front,2558,法国,法国,2558,0.7201,赌气,老师,渴,脏,True,True,法国 赌气 老师,法國老師正在賭氣。,True,False,high
P09_2559_front,front,2559,土耳其,土耳其,2559,0.7599,高,聪明1-1,天空,黑,True,True,土耳其 高 聪明1-1,土耳其人向來以聰明才智著稱。,True,False,high
P09_2598_front,front,2598,妹妹,妹妹,2598,0.1673,鸡,姐姐,如果,牢记,True,True,妹妹 鸡 姐姐,信心度不足 — 關鍵詞：妹妹 鸡 姐姐,False,False,low
P09_2648_front,front,2648,舒服,法国,2558,0.177,舒服,散步,走,鱼,False,True,法国 舒服 散步,信心度不足 — 關鍵詞：法国 舒服 散步,False,False,low
P09_2659_front,front,2659,3,5,5513,0.1444,可以,8,3,2,False,True,5 可以 8,信心度不足 — 關鍵詞：5 可以 8,False,True,low
P09_2676_front,front,2676,7,8,5575,0.1407,5,可以,他,2,False,False,8 5 可以,信心度不足 — 關鍵詞：8 5 可以,False,True,low
P09_2678_front,front,2678,树1-1,树1-1,2678,0.8934,篮球,大雨,大雪,眼镜,True,True,树1-1 篮球 大雨,樹下原本在打籃球，卻突然下起了大雨。,True,False,high
P09_2680_front,front,2680,赌气,赌气,2680,0.516,恐怕,老师,今天,腹,True,True,赌气 恐怕 老师,恐怕他是在跟老師賭氣呢。,True,False,high
P09_2694_front,front,2694,2,5,5513,0.1061,4,可以,3,10,False,False,5 4 可以,信心度不足 — 關鍵詞：5 4 可以,False,True,low
P09_2701_front,front,2701,喂,喂,2701,0.4612,咖啡,足球,站,紧张,True,True,喂 咖啡 足球,喂，要不要一邊喝咖啡一邊看足球？,True,False,high
P09_2732_front,front,2732,坐,做,4870,0.2766,坐,买,在,卖,False,True,做 坐 买,他做了下來，然後買了東西。,True,False,high
P09_2832_front,front,2832,母亲,喜欢,2462,0.2622,渴,紫,母亲,水1-1,False,True,喜欢 渴 紫,我喜歡喝紫色的飲料。,True,False,high
P09_2835_front,front,2835,衣服,没事,6056,0.091,因为1-1,衣服,多,但是1-1,False,True,没事 因为1-1 衣服,信心度不足 — 關鍵詞：没事 因为1-1 衣服,False,True,low
P09_2838_front,front,2838,公园,公园,2838,0.8617,跑,找,感谢,身体,True,True,公园 跑 找,在公園裡跑著尋找。,True,False,high
P09_2853_front,front,2853,4,可以,2498,0.1118,5,3,8,2,False,False,可以 5 3,信心度不足 — 關鍵詞：可以 5 3,False,True,low
P09_2899_front,front,2899,热1-2,学习1-1,4462,0.188,医生,聪明1-1,忘记,土耳其,False,False,学习1-1 医生 聪明1-1,信心度不足 — 關鍵詞：学习1-1 医生 聪明1-1,False,False,low
P09_2902_front,front,2902,花,为什么,3492,0.1232,需要1-1,有,少,没有1-1,False,False,为什么 需要1-1 有,信心度不足 — 關鍵詞：为什么 需要1-1 有,False,True,low
P09_2908_front,front,2908,饺子,饺子,2908,0.9117,起床,工作1-1,朋友,学生,True,True,饺子 起床 工作1-1,我起床後就去工作包餃子。,True,False,high
P09_2913_front,front,2913,恐怕,赌气,2680,0.2121,恐怕,老师,今天,我,False,True,赌气 恐怕 老师,信心度不足 — 關鍵詞：赌气 恐怕 老师,False,False,low
P09_2922_front,front,2922,努力,努力,2922,0.6894,晚上,他们,文静,快,True,True,努力 晚上 他们,他們晚上很努力。,True,False,high
P09_2961_front,front,2961,给,我们,488,0.2167,英俊,你们,多,所以1-1,False,False,我们 英俊 你们,信心度不足 — 關鍵詞：我们 英俊 你们,False,False,low
P09_2985_front,front,2985,面包,面包,2985,0.507,教室,帮助,脚1-1,书包,True,True,面包 教室 帮助,我在教室裡幫忙分發麵包。,True,False,high
P09_3031_front,front,3031,抢,下课,6307,0.1079,8,什么,小,1,False,False,下课 8 什么,信心度不足 — 關鍵詞：下课 8 什么,False,True,low
P09_3113_front,front,3113,奶奶,奶奶,3113,0.5933,黄1-1,晚上,伯父,鸡,True,True,奶奶 黄1-1 晚上,奶奶在晚上看電視。,True,False,high
P09_3149_front,front,3149,姐姐,姐姐,3149,0.1553,奶奶,妹妹,如果,鸡,True,True,姐姐 奶奶 妹妹,信心度不足 — 關鍵詞：姐姐 奶奶 妹妹,False,False,low
P09_3185_front,front,3185,睡觉,睡觉,3185,0.3391,奶奶,黄1-1,听,知道,True,True,睡觉 奶奶 黄1-1,奶奶正在睡覺。,True,False,high
P09_3257_front,front,3257,腿1-1,腿1-1,3257,0.8621,矮,1,需要1-1,椅子,True,True,腿1-1 矮 1,他的腿比較短。,True,False,high
P09_3308_front,front,3308,开始,大,3609,0.4578,桌子,开始,开朗,干净,False,True,大 桌子 开始,那張大桌子已經開始使用了。,True,False,high
P09_3386_front,front,3386,起床,起床,3386,0.4385,站,喂,成绩,拨,True,True,起床 站 喂,起床後站著餵食。,True,False,high
P09_3388_front,front,3388,饭,饭,3388,0.2859,等,喝,奶奶,说,True,True,饭 等 喝,飯先等一等，然後再喝。,True,False,high
P09_3422_front,front,3422,篮球,家,5726,0.3148,椅子,面包,教室,篮球,False,True,家 椅子 面包,家裡的椅子上放著麵包。,True,False,high
P09_3492_front,front,3492,为什么,小孩儿,4486,0.2312,需要1-1,为什么,去,少,False,True,小孩儿 需要1-1 为什么,信心度不足 — 關鍵詞：小孩儿 需要1-1 为什么,False,False,low
P09_3504_front,front,3504,喝,如果,2244,0.2371,喝,医生,鸡,等,False,True,如果 喝 医生,信心度不足 — 關鍵詞：如果 喝 医生,False,False,low
P09_3609_front,front,3609,大,不同,534,0.6378,大,桌子,拨,也,False,True,不同 大 桌子,這些是大小不同的桌子。,True,False,high
P09_3672_front,front,3672,爱,在,2039,0.2265,坐,考试1-2,卖,站,False,False,在 坐 考试1-2,信心度不足 — 關鍵詞：在 坐 考试1-2,False,False,low
P09_3703_front,front,3703,去,鱼,300,0.479,走,散步,快,腹,False,False,鱼 走 散步,魚兒正在悠閒地散步。,True,False,high
P09_3716_front,front,3716,书包,书包,3716,0.8473,脚1-1,教室,面包,健康,True,True,书包 脚1-1 教室,書包落在教室裡了。,True,False,high
P09_3735_front,front,3735,等,鼻,2488,0.8145,厕所,等,伯父,菜,False,True,鼻 厕所 等,我在廁所外等著擤鼻子。,True,False,high
P09_3789_front,front,3789,银行,银行,3789,0.9002,工作1-1,香蕉,饺子,用,True,True,银行 工作1-1 香蕉,我在銀行工作時買了香蕉。,True,False,high
P09_3993_front,front,3993,买,买,3993,0.838,香蕉,银行,写字,脚1-1,True,True,买 香蕉 银行,我去銀行買了香蕉。,True,False,high
P09_4002_front,front,4002,哥哥,哥哥,4002,0.6273,弟弟,姐姐,妹妹,牢记,True,True,哥哥 弟弟 姐姐,哥哥、弟弟和姐姐都在這裡。,True,False,high
P09_4027_front,front,4027,黑,黑,4027,0.2837,土耳其,高,牢记,热1-2,True,True,黑 土耳其 高,土耳其的黑人長得很高。,True,False,high
P09_4073_front,front,4073,脚1-1,脚1-1,4073,0.2774,高兴,身体,担心,现在,True,True,脚1-1 高兴 身体,我的腳傷痊癒了，整個人高興得手舞足蹈。,True,False,high
